,İlaç Adı
455,actemra 400 mg/20 ml iv infuzyonluk cozelti konsantresi 1 flakon
456,actemra 80 mg/4 ml iv infuzyonluk cozelti konsantresi 1 flakon
457,actifed 150 ml surup
458,actilyse 10 mg 1 flakon
459,actilyse 50 mg 1 flakon
460,actinoma 30 mg 30 gr jel
461,activelle 28 film tablet
462,actos 15 mg 28 tablet
463,actos 30 mg tablet (28 tablet)
464,actrapid hm penfill 100/3 iu/ml 5 penfill
465,"acufix %0,4 goz damlasi  5 ml"
466,"acular ls steril goz damlasi %0,4 5 ml"
467,acyl %5 10 gr krem
468,"adacel 0,5 ml im enj. icin sus. iceren flakon"
469,"adaderm %0,1 jel 30 g"
470,adalat crono 30 mg 20 kontrollu salim tableti
471,adcetris 50 mg iv infuzyonluk cozelti konsantresi iceren flakon (1 flakon)
472,adeleks 4 mg 20 tablet
473,adeleks 4 mg/2 ml im 6 ampul
474,adeleks 8 mg 14 tablet
475,"adempas 0,5 mg 42 film kapli tablet"
476,adempas 1 mg 42 film kapli tablet
477,"adempas 1,5 mg 42 film kapli tablet"
478,adempas 2 mg 42 film kapli tablet
479,"adempas 2,5 mg 42 film kapli tablet"
480,adenuric 120 mg 28 film kapli tablet
481,adenuric 80 mg 28 film kapli tablet
482,"adoport 0,5 mg 50 kapsul"
483,adoport 1 mg 50 kapsul
484,adoport 5 mg 50 kapsul
485,adozin 10 mg/2ml iv enjeksiyon ve infuzyon icin cozelti iceren 2ml 10 ampul
486,adozin 250 mg/50 ml iv enjeksiyon ve infuzyon icin cozelti iceren 10 flakon
487,adozin 50 mg/10 ml iv enjeksiyon ve infuzyon icin cozelti iceren 10 flakon
488,"adrenalin 0,5 mg 10 ampul"
489,adrenalin 1 mg 10 ampul
490,adrenalin bas galen 1 mg 10 amp
491,"adrenalin bas.galen 0,25 mg 10 ampul"
492,"adrenalin cod.galen 0,5 mg 10 ampul"
493,adrimisin 10 mg liy. enj. toz iceren flakon
494,adrimisin 50 mg liy. enj. toz iceren flakon
495,"advagraf 0,5 mg 50 uzatilmis salimli 50 sert kapsul"
496,advagraf 1 mg 50 uzatilmis salimli 50 sert kapsul
497,advagraf 3 mg uzatilmis salimli 50 kapsul
498,advagraf 5 mg 50 uzatilmis salimli 50 sert kapsul
499,"advantan %0,1 krem 30 g"
500,"advantan %0,1 merhem 30 g"
501,"advantan %0,1 yagli merhem 15 gr"
502,"advantan m %0,1 emulsiyon 50 g"
503,advate 1000 iu/5 ml iv enjeksiyon icin liyofilize toz iceren flakon
504,advate 1500 iu/5 ml iv enjeksiyon icin liyofilize toz iceren flakon
505,advate 2000 iu/5 ml iv enjeksiyon icin liyofilize toz iceren flakon
506,advate 250 iu/5 ml iv enjeksiyon icin liyofilize toz iceren flakon
507,advate 500 iu/5 ml iv enjeksiyon icin liyofilize toz iceren flakon
508,advil liqui-gels 200 mg yumusak kapsul (20 kapsul)
509,adynovate 1000 iu/2ml iv enjeksiyonluk cozelti hazirlamak icin liyofilize toz ve cozucu (1 flakon)
510,adynovate 1500 iu/2ml iv enjeksiyonluk cozelti hazirlamak icin liyofilize toz ve cozucu (1 flakon)
511,adynovate 2000 iu/5ml iv enjeksiyonluk cozelti hazirlamak icin liyofilize toz ve cozucu (1 flakon)
512,adynovate 250 iu/2ml iv enjeksiyonluk cozelti hazirlamak icin liyofilize toz ve cozucu (1 flakon)
513,"adynovate 500 iu/2ml iv enjeksiyonluk cozelti hazirlamak icin liyofilize toz ve cozucu (1
flakon)"
514,"aerius 0,5 mg/ml 150 ml surup"
515,aerius 5 mg film kapli tablet (20 tablet)
516,aerolet surup (100 ml)
517,aethoxysklerol % 0.5 i.v. enjeksiyonluk cozelti iceren ampul ( 2 ml x 6 ampul )
518,aethoxysklerol % 1 i.v. enjeksiyonluk cozelti iceren ampul ( 2 ml x 6 ampul )
519,aethoxysklerol % 2 i.v. enjeksiyonluk cozelti iceren ampul ( 2 ml x 6 ampul )
520,aethoxysklerol % 3 i.v. enjeksiyonluk cozelti iceren ampul ( 2 ml x 6 ampul )
521,afebryl 16 efervesan tablet
522,a-ferin 300 mg 30 kapsul
523,a-ferin forte 650 mg 30 tablet
524,a-ferin ped. 100 ml surup
525,a-ferin plus pediatrik 100 ml surup
526,a-ferin sinus 20 film tablet
527,a-ferin zero 120 mg/5 ml pediatrik surup
528,a-ferin zero 6 plus 250 mg/5 ml oral suspansiyon (150 ml)
529,afilta 20 mg 4 film tablet
530,afinitor 10 mg 30 tablet
531,afinitor 5 mg 30 tablet
532,aftojel 5 gr jel
533,agnucaston 30 film tablet
534,"agrabloc 12,5 mg/50 ml iv inf. icin kon. coz. iceren flakon (1 flakon)"
535,agrilor 90 mg film kapli tablet (56 tablet)
536,aimafix 500 iu/10 ml iv infuzyon icin liyofilize toz iceren flakon
537,aircomb 5/10 mg 30 film kapli tablet
538,airfix 10 mg 28 film tablet
539,airfix 4 mg 28 cigneme tableti
540,airfix 4 mg 28 sase
541,airfix 5 mg 28 cigneme tableti
542,airlast 4 mg 28 cigneme tableti
543,airlast 5 mg 28 cigneme tableti
544,airpass 5/10 mg 30 film kapli tablet
545,airplus 50/250 mcg discair inhalasyon icin toz 60 doz
546,airplus 50/500 mcg discair inhalasyon icin toz 60 doz
547,airpuff discair 50mcg/250 mcg inhalasyon tozu (60 doz)
548,airpuff discair 50mcg/500 mcg inhalasyon tozu (60 doz)
549,airtide 100 mcg/50 mcg inhalasyon icin toz iceren kapsul
550,airtide 250 mcg/50 mcg inhalasyon icin toz iceren kapsul
551,airtide 500 mcg/50 mcg inhalasyon icin toz iceren kapsul
552,akela fort % 4 30 gr jel
553,akineton 2 mg 100 tablet
554,akineton 5 mg/ml enjeksiyon icin solusyon iceren 1 ml x 5 ampul
555,"aklav bid 200 mg/28,5 mg pediatrik suspansiyon hazirlamak icin kuru toz"
556,"aklav bid 200 mg/28,5 mg pediatrik suspansiyon hazirlamak icin kuru toz (100 ml)"
557,aklav bid 400 mg/57 mg fort suspansiyon hazirlamak icin kuru toz (100 ml)
558,aklav bid 400 mg/57 mg fort suspansiyon hazirlamak icin kuru toz (140 ml)
559,aklofen %3 jel (30 gr)
560,aklovir %5 10 gr krem
561,aklovir 200 mg 100 ml suspansiyon
562,aklovir 200 mg 25 tablet
563,aklovir 800 mg 20 tablet
564,aknefloks %1 30 gr krem
565,aknesilex 30 mg/g merhem
566,aknetrent 10 mg yumusak jelatin 30 kapsul
567,aknetrent 20 mg yumusak jelatin 30 kapsul
568,aksef 500 mg 10 film tablet
569,aksef 500 mg 14 film tablet
570,aksef 500 mg 20 film tablet
571,aksef 750 mg im enj. toz iceren 1 flakon
572,aksef im/iv 750 mg 1 flakon
573,aktazid 25 mg/25 mg film tablet (30 tablet)
574,aktazid 50 mg/50 mg film kapli tablet (30 tablet)
575,alatab 600 mg  30 film tablet
576,albacort 15 g krem
577,albaren %1 jel 50 gr
578,albiomin %20 100 ml iv infuzyonluk cozelti (1 flakon)
579,albitrol 500 mg film kapli tablet (10 film kapli tablet)
580,albuman 200 mg/ml 100 ml iv infuzyon icin cozelti iceren flakon
581,albuman 200 mg/ml 50 ml infuzyon icin coz. iceren 1 flakon
582,"alburex %20 iv infuzyonluk cozelti, 100 ml"
583,"alburex %20 iv infuzyonluk cozelti, 50 ml"
584,aldactazide 25 mg 30 tablet
585,aldactazide 50 mg 30 tablet
586,aldactone 100 mg 16 tablet
587,aldactone 25 mg 20 tablet
588,"aldolan 100 mg/2 ml enjeksiyonluk
cozelti (5 ampul)"
589,aldurazyme 100 u/ml inf. icin konsantre cozelti 5 ml
590,alecast 10 mg 28 fi̇lm tablet
591,alecast 4 mg 28 çi̇ğneme tableti̇
592,alecast 5 mg 28 çi̇ğneme tableti̇
593,alecensa 150 mg 224 sert kapsul
594,alerfin 2 mg/5 ml oral cozelti 100 ml
595,alerinit 5 mg 20 film tablet
596,aleve 220 mg 20 film tablet
597,alfamet 250 mg 30 tablet
598,alfutu 10 mg uzatilmis salimli 30 tablet
599,algesal 40 gr pomat
600,algesal suractive 40 gr pomad
601,algopet 100 mg 15 film kapli tablet
602,algopet sr 200 mg mikropellet 16 kapsul
603,alimta 500 mg inf. coz. icin toz iceren 1 flakon
604,alipza 1 mg film 30 tablet
605,alipza 2 mg film tablet
606,alipza 4 mg  fi̇lm tablet
607,aljil 20 tablet
608,alka-seltzer 324 mg 10 tablet
609,alkeran 2 mg 25 tablet
610,allegra 120 mg film kapli tablet (20 tablet)
611,allegra 180 mg  film kapli tablet (20 tablet)
612,allergovit 006 a + b baslangic enjeksiyonluk suspansiyon
613,allergovit 006 b idame enjeksiyonluk suspansiyon
614,allergovit 015 a+b baslangic enjeksiyonluk suspansiyon
615,allergovit 015 b idame enjeksiyonluk suspansiyon
616,allergovit 123 a + b baslangic enjeksiyonluk suspansiyon
617,allergovit 123 b idame enjeksiyonluk suspansiyon
618,"allermune alternaria alternata 0,7 hepd dilalti sprey, cozelti"
619,"allermune cupressaceae spp. 2.5 hepd dilalti sprey, cozelti"
620,"allermune d. pteronyssinus + d. farinae 2.5 hepd/0.375 hepd dilalti sprey, cozelti (2 adet)"
621,"allermune dog (canis familiaris) 0,825 hepd dilalti sprey, cozelti"
622,"allermune olea europaea 5 hepd dilalti sprey, cozelti"
623,"allermune phleum pratense 5 hepd dilalti sprey, cozelti"
624,allermune polymerized d. pteronyssinus + d. farinae 0.15 hepd/0.15 hepd enjeksiyonluk cozelti (baslangic)
625,allermune polymerized d. pteronyssinus + d. farinae 0.15 hepd/0.15 hepd enjeksiyonluk cozelti (devam)
626,allermune polymerized olea europaea 0.77 hepd enjeksiyonluk cozelti (baslangic)
627,allermune polymerized olea europaea 0.77 hepd enjeksiyonluk cozelti (devam)
628,allermune polymerized spring mix trees 0.1 mg/ml enjeksiyonluk cozelti (baslangic)
629,allermune polymerized spring mix trees 0.1 mg/ml enjeksiyonluk cozelti (devam)
630,allermune polymerized wild grasses 0.3 hepd enjeksiyonluk cozelti (baslangic)
631,allermune polymeri̇zed wi̇ld grasses 0.3 hepd enjeksi̇yonluk çözelti̇ (devam)
632,"allermune wild grasses (lolium, poa, phleum, dactylis) 5 hepd dilalti sprey, cozelti
"
633,allerset 1 mg/1 ml surup (200ml)
634,allerset 10 mg film kapli tablet (10 film kapli tablet)
635,allerset 10 mg film kapli tablet (20 film kapli tablet)
636,"allerset 10 mg/ml oral damla,cozelti (20ml)"
637,allopre 5 g infuzyonluk cozelti hazirlamak icin toz (5 flakon)
638,almenta 10 mg 100 film tablet
639,alocort m % 0.1 emulsiyon
640,"alomide %0,1 steril goz damlasi"
641,alopexy t %5 deri spreyi 60 ml
642,"alores 2,5 mg/5 ml 150 ml surup"
643,"alphagan-p %0,15 5 ml"
644,alprolix 1000 iu enjeksiyonluk cozelti hazirlamak icin toz ve cozucu
645,alpros 20 mcg/ml inf. icin konsantre coz. iceren 1 mlx5 ampul
646,alquira %5 krem
647,altuzan roche 100mg/4ml kons.inf.coz.iceren 1 flakon
648,altuzan roche 400mg/16ml kons.inf.coz.iceren 1 flakon
649,alunbrig 180 mg film kapli tablet (28 tablet)
650,alunbrig 30 mg film kapli tablet (28 tablet)
651,alunbrig 90 mg film kapli tablet (28 tablet)
652,alunbrig 90 mg ve 180 mg  film kapli tablet tedaviye baslangic paketi (90 mg 7 tab +180 mg 21 tab)
653,alvastin 10 mg 30 tablet
654,alvastin 10 mg 90 tablet
655,alvastin 20 mg 30 tablet
656,alvastin 20 mg 90 tablet
657,alvastin 40 mg 30 tablet
658,alyse 150 mg 56 kapsul
659,alyse 25 mg 56 kapsul
660,alyse 300 mg 56 kapsul
661,alyse 75 mg 14 kapsul
662,alyse 75 mg 56 kapsul
663,alzancer 10 mg 28 film tablet
664,alzancer 5 mg 28 film tablet
665,alzancer easytab 10 mg 28 agizda dagilan tablet
666,alzancer easytab 5 mg 28 agizda dagilan tablet
667,alzant 10 mg 100 film tablet
668,alzant 10 mg 50 film tablet
669,amaryl 1 mg 30 tablet
670,amaryl 2 mg 30 tablet
671,amaryl 3 mg 30 tablet
672,amaryl 4 mg 30 tablet
673,ambisome 50 mg 1 flakon
674,ametik 100 mg 15 ml damla
675,"amgevita 20 mg/0,4 ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (1 adet)"
676,"amgevita 40 mg/0,8 ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (2 adet)"
677,"amgevita 40 mg/0,8 ml enjeksiyonluk cozelti iceren kullanima hazir kalem (2 adet)"
678,amidovin 150 mg/3 ml iv 6 ampul
679,amijeksin 100 mg/2 ml im/iv enj. sol.iceren 1 ampul
680,amijeksin 500 mg/2 ml im/iv enj. sol.iceren 1 ampul
681,amikaver 100 mg 2ml x 1 ampul
682,amikaver 500 mg 1 ampul
683,amikozit 100 mg 1 flakon
684,"amikozit 500 mg im/iv enj. coz. iceren flakon, 1 flakon"
685,amlipin 10/10 mg 30 film tablet
686,amlipin 5/10 mg 30 film kapli tablet
687,amli̇pi̇n 5 mg/5 mg fi̇lm kapli tablet (30 tablet)
688,amlodis 10 mg 20 tablet
689,amlodis 5 mg 20 tablet
690,amlokard 10 mg 30 tablet
691,amlokard 10 mg 90 tablet
692,amlokard 5 mg 30 tablet
693,amoklavin bid 1000 mg 10 film tablet
694,amoklavin bid 1000 mg 14 film tablet
695,"amoklavin bid 200/28,5 mg oral suspansiyon hazirlamak icin kuru toz (100 ml)"
696,"amoklavin bid 200/28,5 mg oral suspansiyon hazirlamak icin kuru toz (70 ml)"
697,amoklavin bid 400/57 100 ml suspansiyon
698,amoklavin bid 400/57 mg 70 ml suspansiyon
699,amoklavin bid 400/57 mg forte 140 ml oral sus. hazirlamak icin kuru toz
700,amoklavin bid 625 mg 10 tablet
701,amoklavin bid 625 mg 14 film tablet
702,"amoklavin es 600/42,9 mg oral suspansiyon icin kuru toz 100 ml"
703,"amoklavin es 600/42,9 mg oral suspansiyon icin kuru toz 150 ml"
704,"amoklavin iv 1,2 gr 1 flakon"
705,anafranil 10 mg 30 kapli tablet
706,anafranil 25 mg 30 kapli tablet
707,anafranil sr 75 mg uzatilmis salimli bolunebilir 20 tablet
708,andazol 200 mg 40 film kapli tablet
709,andazol 200 mg 6 film kapli tablet
710,"andazol 200 mg/10 ml  suspansiyon, 60 ml "
711,andazol 400 mg 3 film kapli tablet
712,andazol 400 mg 60 film kapli tablet
713,andolor 2 ml 1 gr 10 ampul
714,andolor 500 mg 20 tablet
715,andorex %0.15+%0.12 gargara (200 ml)
716,"andorex %0.15+%0.12 sprey, cozelti (30 ml)"
717,androcur 50 mg 50 tablet
718,androcur-100 30 tablet
719,androvium %2 topikal cozelti
720,androvium %5 topikal cozelti
721,anestol %5 merhem
722,angeliq 28 film tablet
723,ankep 100 mg 30 film kapli tablet
724,ankep 200 mg 30 film tablet
725,ankep 25 mg 30 film tablet
726,ankep 300 mg 30 film tablet
727,ankep 400 mg 30 film tablet
728,ankep 50 mg fi̇lm tablet (30 fi̇lm tablet)
729,"anoro ellipta 62,5/25 mcg kullanima hazir inhalasyon tozu, 30 doz"
730,a-nox fort 550 mg 20 tablet
731,anpeks mr 35 mg film kapli modifiye salim tablet
732,"anrecta %0,4 30 gr rektal merhem"
733,"ansiox 0,5 mg 30 tablet"
734,ansiox 1 mg 50 tablet
735,antabuse 500 mg 25 tablet
736,antax 1000 mg oral toz iceren 90 sase
737,antax 500 mg oral toz iceren 90 sase
738,antax 750 mg oral toz iceren 90 sase
739,antepsin 250 ml suspansiyon
740,antepsin 60 tablet
741,anthix 10 mg 20 tablet
742,anti skab % 5 120 ml losyon
743,anti skab krem % 5 30 gr krem
744,anti-asidoz 100 yum.jel.kapsul
745,antibeksin 100 ml surup
746,anti-em 50 mg tablet (12 tablet)
747,anti-fosfat cc 500 mg 100 tablet
748,anti-nausea 10 mg/2 ml im/iv enj. coz. iceren 5 ampul
749,antipar 100/25/200 mg 100 film tablet
750,"antipar 125/31,25/200 mg 100 film kapli tablet"
751,"antipar 150/37,5/200 mg 100 film tablet"
752,antipar 200/50/200 mg 100 film tablet
753,"antipar 50/12,5/200 mg 100 film tablet"
754,"antipar 75/18,75/200 mg 100 film kapli tablet"
755,anti-potasium 880 mg/g granul
756,antoksi-c 500 mg/5 ml i.v. enjeksiyon icin cozelti
757,anzyl 10 mg 28 film tablet
758,anzyl 15 mg 28 film tablet
759,anzyl 5 mg 28 film tablet
760,"apaclot 2,5 mg film kapli tablet (56 film kapli tablet)"
761,apaclot 5 mg film kapli tablet (56 film kapli tablet)
762,a-per surup 120 mg 150 ml
763,"apfecto % 0,3 oftalmik susp. 1,7 ml"
764,"apfecto %0,1  goz damlasi, suspansiyon (5 ml)"
765,apidra 100 u/ml solostar sc kullanim icin enjeksiyonluk cozelti(5 enjeksiyon kalemi)
766,apikobal 250 mg /250 mg /1 mg film kapli tablet (30 film kapli tablet)
767,apikobal 250 mg/250 mg/1 mg film kapli tablet (50 film kapli tablet)
768,apikobal plus 250/250/1/300 mg 50 enterik kapli tablet 
769,apireks 100 mg/5 ml 100 ml pediatrik suspansiyon
770,apireks cold&flu 200 mg/30 mg 24 film kapli tablet
771,aplusc 400 mg/240 mg efervesan tablet (10 tablet)
772,apraljin forte 550 mg 10 film tablet
773,apranax 275 mg 10 film kapli tablet
774,apranax 275 mg 20 film kaplitablet
775,apranax forte 550 mg 10 film kapli tablet
776,apranax forte 550 mg 20 film kapli tablet
777,apranax plus 20 film tablet
778,aprazol 30 mg 14 kapsul
779,aprazol 30 mg 28 kapsul
780,aprokam 50 mg intrakameral enjeksiyonluk cozelti tozu 10 flakon
781,aprol 275 mg 10 tablet
782,aprol 550 mg 10 tablet
783,aprol 550 mg 20 tablet
784,aprowell forte 550 mg 10 tablet
785,aprowell forte 550 mg 20 tablet
786,aptamil ar 400 g
787,aptamil conformil 300 g
788,"aptamil eoprotin, 200 g"
789,aptamil pregomin syneo 400 g
790,"aptamil prematil, 400 g"
791,aramid 10 mg 30 film tablet
792,aramid 20 mg 30 film tablet
793,aranesp 10 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
794,aranesp 100 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
795,aranesp 150 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
796,aranesp 20 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
797,aranesp 30 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
798,aranesp 40 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
799,aranesp 50 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
800,aranesp 60 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
801,aranesp 80 mcg 4 kullanima hazir dolu enjektor icinde enj. cozelti
802,arava 10 mg 30 film tablet
803,arava 20 mg 30 film tablet
804,arbesta 150 mg 28 film tablet
805,arbesta 300 mg 28 film tablet
806,"arbesta plus 150 mg/12,5 mg 28 film tablet"
807,"arbesta plus 300 mg/12,5 mg 28 film tablet"
808,arbesta plus 300 mg/25 mg 28 film tablet
809,arcalion 200 mg 30 draje
810,arcapta 150 mcg 30 inhaler kapsul
811,arcotil 20 mg iv/im liyofilize toz iceren falakon (1 flakon+1 cozucu ampul)
812,arex 25 mg film kapli tablet (20 tablet)
813,arex 50 mg film kapli tablet (30 tablet)
814,arfen 50 mg/ 2 ml enjeksiyonluk cozelti 6 ampul
815,aria-des 5 mg film kapli tablet (20 film kapli tablet)
816,aricept 10 mg film kapli tablet (28 tablet)
817,aricept 5 mg film kapli tablet (14 tablet)
818,aricept 5 mg film kapli tablet (28 tablet)
819,aricept evess 10 mg 28 agizda dagilan tablet
820,arifay 10 mg 28 agizda dagilan tablet
821,arifay 5 mg 28 tablet
822,arimidex 1 mg 28 film tablet
823,arimidex 1 mg 28 tablet
824,arinna 40 mg 28 enterik kapli tablet
825,aripa 1 mg/ml oral cozelti (150 ml) 
826,aripa 10 mg 28 tablet
827,aripa 15 mg 28 tablet
828,aripa 20 mg 28 tablet
829,aripa 30 mg 28 tablet
830,aripa 5 mg 28 tablet
831,arislow er 1 mg uzatilmis salimli tablet (28 tablet)
832,arislow er 2 mg uzatilmis salimli tablet (28 tablet)
833,arislow er 3 mg uzatilmis salimli tablet (28 tablet)
834,arislow er 4 mg uzatilmis salimli tablet (28 tablet)
835,aristu 1 mg 28 tablet
836,aritmal %2 100 mg 5 ml 5 ampul
837,arixtra 2.5 mg/0.5 ml enjeksiyonluk sol.10 kul.haz.siringa
838,"arlec 12,5 mg 28 tablet"
839,arlec 25 mg 28 tablet
840,"arlec 3,125 mg 28 tablet"
841,"arlec 6,25 mg 28 tablet"
842,arliptin 100 mg film kapli tablet (28 tablet)
843,arliptin met 50 mg/1000 mg film kapli tablet (56 tablet)
844,arliptin met 50 mg/500 mg film kapli tablet (56 tablet)
845,arliptin met 50 mg/850 mg film kapli tablet (56 tablet)
846,armaseft 1 g iv enjektabl toz iceren flakon (1 flakon+10 ml ampul)
847,armec 3 mg tablet (10 tablet)
848,armec 3 mg tablet (20 tablet)
849,armec 3 mg tablet (4 tablet)
850,armiro 100 mg sert kapsul (100 kapsul)
851,aromasin 25 mg 30 draje
852,arpin 50 mg film kapli tablet (40 adet)
853,arpin 50 mg film kapli tablet (80 adet)
854,"artrocol %2,5 mg jel (45 g)"
855,artrodar 50 mg 60 kapsul
856,"artroject 15 mg/1,5 ml s.c. enjeksiyonluk cozelti iceren kullanima hazir siringa (1 adet)"
857,artropan 20 mg/ml enjeksiyonluk suspansiyon (1 ampul)
858,arveles 25 mg 20 film tablet
859,arveles 50 mg/ 2 ml enjektabl cozelti iceren 6 ampul
860,arvila 250 mg tablet (120 tablet)
861,"aryoseven 1,2 mg (60kiu) iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu (1 flakon + 1 cozucu flakon)"
862,asacol 4 g/100 ml rektal suspansiyon (7 adet)
863,asacol 500mg 20 supozituvar
864,asacol 800 mg enterik tablet (90 tablet)
865,asazin 4 g/60 g rektal suspansiyon
866,ase-cold 120 mg + 50 mg + 1 mg / 5 ml pediatrik surup (100 ml)
867,ase-cold zero 160 mg + 1 mg/5 ml surup (100 ml)
868,aseket - tiyo 25 mg/4 mg film kapli tablet (20 tablet)
869,aseket - tiyo 25 mg/8 mg film kapli tablet (14 tablet)
870,aseket 25/500 mg 20 film tablet
871,aseket-s 25 mg film kapli tablet (20 tablet)
872,aseket-s 50 mg film kapli tablet (30 tablet)
873,asirax  250 mg  iv inf. icin liyo. toz.iceren flakon 
874,asist % 4 100 ml granul
875,asist %10 3 ml 300 mg 10 ampul
876,asist 1200 mg toz iceren 20 sase
877,asist 60 gr 150 ml granul
878,asist 900 mg toz iceren 20 sase
879,asist plus 600 mg toz iceren 30 sase
880,asiviral %5 10 gr krem
881,asiviral 200 mg 25 tablet
882,asiviral 400 mg 25 tablet
883,aspirin 100 mg 20 tablet
884,aspirin 500 mg 20 tablet
885,aspirin complexoral suspansiyon granullu 500/30 mg 10 sase
886,aspirin complexoral suspansiyon granullu 500/30 mg 20 sase
887,aspirin plus-c 400 mg 10 tablet
888,"astonin-h 0,1 mg 100 tablet"
889,"astosal 2,5 mg/2,5 ml nebulizasyon icin inhalasyon cozeltisi (20 doz)"
890,atacand 16 mg 28 tablet
891,atacand 8 mg 28 tablet
892,"atacand plus 16 mg/12,5 mg 28 tablet"
893,atador 250 mg/150 mg/50 mg tablet (30 tablet) 
894,atafloks 400 mg 7 film tablet
895,atarax 200 ml surup
896,atarax 30 film tablet
897,"ataxil 100 mg/16,7 ml iv inf.icin kon.coz.iceren flakon"
898,ataxil 30 mg/5 ml iv inf.icin kon.coz.iceren flakon
899,ateroz 10 mg 30 film tablet
900,ateroz 20 mg 30 film tablet
901,ateroz 40 mg 30 film tablet
902,atervix 75 mg 28 film kapli tablet
903,atoksilin 1000 mg 16 tablet
904,atoksilin 250 mg 80 ml suspansiyon
905,atoksilin 500 mg 16 tablet
906,atoksilin 500 mg kapsul
